time,barometric_pressure,humidity,temperature,irradiance
86118,30.46,80,48,1.27
85823,30.46,79,48,1.25
85524,30.46,79,48,1.25
85221,30.46,79,48,1.25
84922,30.47,79,48,1.27
84627,30.47,79,48,1.29
84321,30.47,80,48,1.23
84021,30.47,84,48,1.25
83721,30.47,86,48,1.27
83424,30.47,88,48,1.24
83122,30.47,88,48,1.26
82826,30.47,89,49,1.26
82523,30.47,91,49,1.28
82223,30.47,96,49,1.25
81922,30.47,99,49,1.27
81625,30.47,99,49,1.27
81322,30.47,99,49,1.25
81023,30.48,100,49,1.27
80719,30.48,100,50,1.24
80419,30.48,100,50,1.25
80119,30.48,100,50,1.26
79823,30.48,100,50,1.25
79524,30.48,100,51,1.26
79220,30.48,100,51,1.28
78922,30.48,100,51,1.24
78621,30.48,100,51,1.26
78321,30.48,100,51,1.27
78025,30.48,99,50,1.26
77720,30.48,99,50,1.27
77423,30.48,99,50,1.3
77119,30.48,99,50,1.26
76820,30.48,99,50,1.27
76520,30.48,99,49,1.26
76219,30.48,99,49,1.28
75920,30.48,100,49,1.27
75621,30.47,100,49,1.27
75321,30.48,100,49,1.28
75029,30.48,100,50,1.3
74723,30.47,100,51,1.24
74424,30.47,100,51,1.29
74123,30.47,100,51,1.3
73521,30.47,100,51,1.32
73221,30.46,100,51,1.29
72926,30.46,99,51,1.3
72623,30.46,99,51,1.27
72323,30.46,99,52,1.27
72029,30.46,99,52,1.29
71728,30.46,99,52,1.3
71420,30.46,98,53,1.29
71119,30.46,98,52,1.29
70822,30.46,97,52,1.29
70522,30.46,96,52,1.26
70223,30.46,96,52,1.26
69924,30.45,95,52,1.27
69624,30.46,95,52,1.31
69321,30.46,94,52,1.27
68721,30.46,93,52,1.27
68419,30.45,92,52,1.28
68120,30.45,91,52,1.3
67821,30.45,89,52,1.3
67524,30.45,87,52,1.26
67221,30.45,87,52,1.28
66921,30.45,87,52,1.21
66621,30.45,86,52,1.23
66320,30.45,88,52,1.27
66023,30.45,90,52,2.37
65719,30.45,89,52,2.17
65420,30.45,89,52,3.43
65120,30.45,88,52,7.78
64830,30.45,89,53,14.33
64521,30.45,85,53,19.07
64221,30.45,84,53,23.68
63925,30.44,81,54,30.32
63624,30.44,81,54,55.91
63320,30.44,82,54,50.75
63025,30.44,81,54,76.36
62721,30.44,78,54,112.4
62419,30.44,78,55,93.66
62121,30.44,81,55,172.74
61820,30.44,82,56,290.09
61521,30.44,80,56,329.09
61221,30.43,77,55,349.17
60920,30.44,77,55,324.11
60622,30.43,77,56,138.31
60318,30.43,77,56,330.81
60023,30.43,75,56,369.66
59722,30.43,74,56,329.71
59419,30.43,74,57,271.74
59119,30.43,72,58,309.23
58822,30.44,66,58,444.45
58521,30.43,67,58,454.53
58221,30.43,71,58,502.97
57921,30.43,67,58,517.54
57623,30.43,66,58,522.91
57326,30.43,69,58,518.79
57022,30.43,68,58,574.72
56725,30.43,70,58,572.26
56424,30.43,74,58,595.49
56126,30.43,70,58,621.22
55832,30.43,71,58,628.24
