Temperature,Irradiance,Voltage
5,100,359.790
5,200,372.645
5,300,376.890
5,400,382.090
5,500,384.440
5,600,387.724
5,700,389.351
5,800,391.752
5,900,392.997
5,1000,394.890
5,1100,395.898
5,1200,397.460
5,1300,398.308
5,1400,399.638
5,1500,400.368
5,1600,401.526
5,1700,402.169
5,1800,403.194
5,1900,403.767
5,2000,404.687
10,100,353.042
10,200,365.503
10,300,370.140
10,400,375.207
10,500,377.771
10,600,380.972
10,700,382.747
10,800,385.089
10,900,386.446
10,1000,388.292
10,1100,389.391
10,1200,390.915
10,1300,391.838
10,1400,393.136
10,1500,393.932
10,1600,395.062
10,1700,395.762
10,1800,396.762
10,1900,397.387
10,2000,398.284
15,100,346.271
15,200,358.346
15,300,363.378
15,400,368.311
15,500,371.090
15,600,374.209
15,700,376.131
15,800,378.414
15,900,379.883
15,1000,381.683
15,1100,382.872
15,1200,384.358
15,1300,385.358
15,1400,386.623
15,1500,387.485
15,1600,388.586
15,1700,389.344
15,1800,390.319
15,1900,390.995
15,2000,391.870
20,100,339.477
20,200,351.176
20,300,356.603
20,400,361.404
20,500,364.397
20,600,367.435
20,700,369.504
20,800,371.727
20,900,373.309
20,1000,375.063
20,1100,376.343
20,1200,377.791
20,1300,378.866
20,1400,380.099
20,1500,381.026
20,1600,382.099
20,1700,382.914
20,1800,383.865
20,1900,384.592
20,2000,385.445
25,100,332.662
25,200,343.994
25,300,349.816
25,400,354.486
25,500,357.693
25,600,360.650
25,700,362.866
25,800,365.030
25,900,366.724
25,1000,368.431
25,1100,369.802
25,1200,371.212
25,1300,372.363
25,1400,373.564
25,1500,374.556
25,1600,375.602
25,1700,376.474
25,1800,377.400
25,1900,378.178
25,2000,379.008
30,100,325.826
30,200,336.799
30,300,343.018
30,400,347.557
30,500,350.978
30,600,353.853
30,700,356.217
30,800,358.322
30,900,360.128
30,1000,361.789
30,1100,363.251
30,1200,364.623
30,1300,365.850
30,1400,367.018
30,1500,368.076
30,1600,369.093
30,1700,370.023
30,1800,370.924
30,1900,371.753
30,2000,372.562
35,100,318.970
35,200,329.593
35,300,336.208
35,400,340.617
35,500,344.252
35,600,347.047
35,700,349.557
35,800,351.604
35,900,353.522
35,1000,355.137
35,1100,356.689
35,1200,358.023
35,1300,359.326
35,1400,360.462
35,1500,361.585
35,1600,362.575
35,1700,363.561
35,1800,364.438
35,1900,365.318
35,2000,366.104
40,100,312.095
40,200,322.375
40,300,329.386
40,400,333.667
40,500,337.515
40,600,340.230
40,700,342.887
40,800,344.876
40,900,346.905
40,1000,348.475
40,1100,350.116
40,1200,351.413
40,1300,352.791
40,1400,353.896
40,1500,355.084
40,1600,356.046
40,1700,357.089
40,1800,357.941
40,1900,358.872
40,2000,359.637
45,100,305.201
45,200,315.145
45,300,322.553
45,400,326.706
45,500,330.767
45,600,333.403
45,700,336.206
45,800,338.137
45,900,340.277
45,1000,341.802
45,1100,343.533
45,1200,344.793
45,1300,346.246
45,1400,347.319
45,1500,348.572
45,1600,349.507
45,1700,350.607
45,1800,351.435
45,1900,352.416
45,2000,353.159
50,100,298.290
50,200,307.906
50,300,315.708
50,400,319.736
50,500,324.009
50,600,326.567
50,700,329.514
50,800,331.389
50,900,333.640
50,1000,335.120
50,1100,336.940
50,1200,338.163
50,1300,339.691
50,1400,340.733
50,1500,342.050
50,1600,342.958
50,1700,344.115
50,1800,344.919
50,1900,345.950
50,2000,346.672
55,100,291.361
55,200,300.655
55,300,308.852
55,400,312.756
55,500,317.240
55,600,319.721
55,700,322.813
55,800,324.631
55,900,326.992
55,1000,328.428
55,1100,330.337
55,1200,331.524
55,1300,333.126
55,1400,334.138
55,1500,335.518
55,1600,336.399
55,1700,337.612
55,1800,338.393
55,1900,339.475
55,2000,340.175
60,100,284.415
60,200,293.395
60,300,301.985
60,400,305.767
60,500,310.461
60,600,312.865
60,700,316.101
60,800,317.864
60,900,320.334
60,1000,321.727
60,1100,323.724
60,1200,324.875
60,1300,326.552
60,1400,327.532
60,1500,328.977
60,1600,329.832
60,1700,331.100
60,1800,331.858
60,1900,332.989
60,2000,333.669
65,100,277.452
65,200,286.126
65,300,295.108
65,400,298.769
65,500,303.672
65,600,306.001
65,700,309.380
65,800,311.088
65,900,313.667
65,1000,315.016
65,1100,317.102
65,1200,318.217
65,1300,319.967
65,1400,320.918
65,1500,322.426
65,1600,323.254
65,1700,324.579
65,1800,325.313
65,1900,326.494
65,2000,327.153
70,100,270.474
70,200,278.847
70,300,288.219
70,400,291.762
70,500,296.873
70,600,299.127
70,700,302.648
70,800,304.303
70,900,306.990
70,1000,308.297
70,1100,310.469
70,1200,311.550
70,1300,313.373
70,1400,314.295
70,1500,315.865
70,1600,316.668
70,1700,318.048
70,1800,318.759
70,1900,319.989
70,2000,320.628
75,100,263.480
75,200,271.559
75,300,281.321
75,400,284.746
75,500,290.064
75,600,292.245
75,700,295.907
75,800,297.509
75,900,300.303
75,1000,301.569
75,1100,303.828
75,1200,304.874
75,1300,306.770
75,1400,307.662
75,1500,309.295
75,1600,310.073
75,1700,311.507
75,1800,312.197
75,1900,313.476
75,2000,314.094
75,100,263.698
