MO,DY,HR,temp,feels_like,pressure,humidity,wind_speed,clouds_all,Irr
1,1,5,282.48,282.48,1017,92,1.31,0,0
1,1,6,282.74,282.74,1017,92,1.24,0,0
1,1,7,282.41,282.41,1018,92,1.11,8,62.48
1,1,8,284.04,283.51,1019,89,1.48,6,230.52
1,1,9,287.46,287.19,1019,86,1.03,3,391.83
1,1,10,293.04,292.81,1019,66,1,3,510.15
1,1,11,293.88,293.63,1019,62,1.7,0,580.5
1,1,12,294.37,294.11,1018,60,2.73,11,575.1
1,1,13,295.99,295.77,1017,55,3.02,17,505.45
1,1,14,296.11,295.9,1016,55,3.28,17,378.95
1,1,15,294.37,294.17,1016,62,2.16,31,214.3
1,1,16,293.94,293.9,1015,70,0.58,49,50.15
1,1,17,293.77,293.4,1016,58,0.96,54,0
1,1,18,295.44,295.19,1016,56,1.56,34,0
1,1,19,292.58,292.25,1017,64,0.34,31,0
1,1,20,287.6,287.4,1018,88,1.64,34,0
1,1,21,287.2,286.98,1018,89,1.75,30,0
1,1,22,286.71,286.37,1018,86,1.46,12,0
1,1,23,285.91,285.51,1018,87,0.4,3,0
1,2,0,285.31,284.93,1018,90,0.74,2,0
1,2,1,284.13,283.71,1019,93,1.32,6,0
1,2,2,283.77,283.29,1018,92,1.74,1,0
1,2,3,282.87,282.19,1018,94,1.8,3,0
1,2,4,282.77,282.02,1018,94,1.86,7,0
1,2,5,283.64,283.12,1018,91,1.89,16,0
1,2,6,284.58,284.08,1018,88,1.48,34,0
1,2,7,284.66,284.16,1019,88,1.77,30,60.42
1,2,8,283.76,283.25,1020,91,1.66,10,227.12
1,2,9,285.78,285.53,1020,93,0.6,2,391.25
1,2,10,291.77,291.54,1021,71,0.44,2,514.05
1,2,11,293.58,293.3,1020,62,0.58,0,583.95
1,2,12,294.39,294.11,1019,59,0.52,0,583.55
1,2,13,296.33,296.04,1018,51,0.95,0,516.17
1,2,14,296.95,296.67,1018,49,1.5,0,390.77
1,2,15,294.75,294.53,1017,60,2.18,0,223.92
1,2,16,294.23,294.09,1017,65,1.98,0,54.2
1,2,17,291.82,291.7,1018,75,2.43,2,0
1,2,18,290.79,290.62,1019,77,2.53,2,0
1,2,19,288.36,288.16,1019,85,2.62,3,0
1,2,20,287.83,287.73,1020,91,2.17,15,0
1,2,21,286.63,286.44,1020,92,2.73,3,0
1,2,22,285.08,284.78,1020,94,2.79,1,0
1,2,23,285.19,284.88,1020,93,2.4,50,0
1,3,0,285.28,284.98,1020,93,2.38,96,0
1,3,1,284.59,284.24,1019,94,1.97,96,0
1,3,2,283.97,283.59,1019,95,1.9,78,0
1,3,3,283.08,282.17,1019,97,2.11,32,0
1,3,4,282.85,281.99,1019,98,2,0,0
1,3,5,283.19,282.76,1019,96,1.74,8,0
1,3,6,283.35,282.91,1019,95,1.8,61,0
1,3,7,283.57,283.15,1019,95,1.02,72,62.3
1,3,8,284.39,283.97,1020,92,0.87,84,232.23
1,3,9,285.88,285.61,1021,92,0.15,98,391.5
1,3,10,290.81,290.67,1021,78,0.74,96,510.6
1,3,11,291.73,291.5,1020,71,1.19,87,601.92
1,3,12,292.52,292.24,1019,66,1.86,88,595.7
1,3,13,294.35,294.01,1018,57,2.16,78,521.3
1,3,14,295,294.65,1017,54,1.67,74,392.4
